Oped,Section,Words,School,Time,Coursegrade,Sex,Topic,Zoom
93,S192,684,Hood,Afternoon,90,M,,
92,S192,1001,Hood,Afternoon,94,M,,
95,S192,652,Hood,Afternoon,95,M,,
87,S192,715,Hood,Afternoon,84,M,,
90,S192,883,Hood,Afternoon,90,M,,
91,F18,769,Hood,Afternoon,95,M,,
93,F18,607,Hood,Afternoon,87,F,,
90,F18,664,Hood,Afternoon,93,F,,
86,F18,721,Hood,Afternoon,75,M,,
87,F18,520,Hood,Afternoon,84,F,,
98,F18,918,Hood,Afternoon,98,F,,
94,F18,889,Hood,Afternoon,99,F,,
77,F18,595,Hood,Afternoon,84,M,,
92,F18,641,Hood,Afternoon,90,M,,
81,F18,820,Hood,Afternoon,77,M,,
92,F18,600,Hood,Afternoon,93,M,,
85,F18,904,Hood,Afternoon,70,M,,
86,F18,610,Hood,Afternoon,93,F,,
93,F18,558,Hood,Afternoon,98,F,,
89,F18,839,Hood,Afternoon,84,F,,
92,F18,788,Hood,Afternoon,87,F,,
91,F18,756,Hood,Afternoon,85,M,,
84,F18,616,Hood,Afternoon,83,F,,
84,F18,578,Hood,Afternoon,99,F,,
87,F18,596,Hood,Afternoon,93,M,,
94,F18,574,Hood,Afternoon,97,M,,
90,F18,686,Hood,Afternoon,98,F,,
90,S181,586,Hood,Afternoon,100.24,M,,
94,S181,950,Hood,Afternoon,109.075,M,,
85,S181,640,Hood,Afternoon,77.89,F,,
93,S181,896,Hood,Afternoon,77.35,M,,
88,S181,774,Hood,Afternoon,91.24,M,,
0,S181,0,Hood,Afternoon,45.85,M,,
88,S181,743,Hood,Afternoon,80.22,M,,
84,S181,748,Hood,Afternoon,70.55,M,,
89,S181,661,Hood,Afternoon,90.87,M,,
80,S181,570,Hood,Afternoon,78.145,M,,
50,S181,236,Hood,Afternoon,69.1,F,,
93,S181,1369,Hood,Afternoon,86.16,M,,
84,S181,505,Hood,Afternoon,61.3,M,,
93,S181,837,Hood,Afternoon,93.32,M,,
91,S181,921,Hood,Afternoon,81.175,M,,
94,S181,812,Hood,Afternoon,95.25,F,,
83,S181,627,Hood,Afternoon,85.33,M,,
91,S181,745,Hood,Afternoon,104.84,M,,
92,S182,639,Hood,Morning,94.5,M,,
91,S182,532,Hood,Morning,104.735,F,,
90,S182,618,Hood,Morning,106.445,M,,
84,S182,570,Hood,Morning,81.02,M,,
82,S182,548,Hood,Morning,91.935,M,,
88,S182,941,Hood,Morning,81.72,M,,
86,S182,639,Hood,Morning,85.95,F,,
0,S182,0,Hood,Morning,0,M,,
82,S182,537,Hood,Morning,85.68,F,,
82,S182,727,Hood,Morning,84.26,F,,
93,S182,734,Hood,Morning,99.65,F,,
87,S182,1073,Hood,Morning,88.37,M,,
85,S182,616,Hood,Morning,73.62,M,,
93,S182,657,Hood,Morning,109.425,F,,
84,S182,600,Hood,Morning,83.4,F,,
91,S182,1068,Hood,Morning,86.68,M,,
91,F191,664,Hood,Morning,90,F,,
84,F191,703,Hood,Morning,81,F,,
93,F191,668,Hood,Morning,88,M,,
82,F191,651,Hood,Morning,73,M,,
96,F191,874,Hood,Morning,93,F,,
86,F191,952,Hood,Morning,83,M,,
89,F191,838,Hood,Morning,87,F,,
93,F191,731,Hood,Morning,93,M,,
80,F191,520,Hood,Morning,76,M,,
86,F191,615,Hood,Morning,78,M,,
64,F191,506,Hood,Morning,67,M,,
85,F191,664,Hood,Morning,93,M,,
93,F191,923,Hood,Morning,95,M,,
86,F191,506,Hood,Morning,90,F,,
84,F191,538,Hood,Morning,83,M,,
87,F191,988,Hood,Morning,94,M,,
85,F192,581,Hood,Afternoon,83,M,,
85,F192,702,Hood,Afternoon,73,M,,
85,F192,760,Hood,Afternoon,83,F,,
94,F192,940,Hood,Afternoon,98,M,,
88,F192,695,Hood,Afternoon,77,F,,
86,F192,849,Hood,Afternoon,93,F,,
94,F192,951,Hood,Afternoon,103,F,,
103,F192,938,Hood,Afternoon,98,F,,
95,F192,951,Hood,Afternoon,94,M,,
90,F192,987,Hood,Afternoon,87,F,,
88,F192,734,Hood,Afternoon,83,M,,
75,S201,612,Hood,Afternoon,78,M,uber,Remote
